ID_CLIENTE,CANAL,PRECIO_ASIGNADO,ZONA,CLAS_VENTA,TIPO_FACT
90,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
91,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
92,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
93,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
94,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
95,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
96,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
97,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
98,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
99,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
100,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
101,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
102,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
103,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
104,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
105,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
106,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
107,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
108,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
109,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
110,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
111,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
112,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
113,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
114,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
115,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
116,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
117,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
118,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
119,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
120,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
121,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
122,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
123,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
124,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
125,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
126,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
127,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
128,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
129,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
130,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
131,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
132,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
133,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
134,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
135,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
136,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
137,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
138,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
139,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
140,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
141,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
142,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
143,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
144,DETALLE,DETALLE,URBANO,D- 0 - 2500,CONTADO
