Date;Venta
24/10/2019;23331.18
25/10/2019;70195.27
26/10/2019;514640.8
27/10/2019;31964.48
28/10/2019;260384.41
29/10/2019;383637.88
30/10/2019;705605.24
31/10/2019;-1509.04
01/11/2019;87319.21
02/11/2019;154936.67
04/11/2019;423453.82
05/11/2019;103886.52
06/11/2019;32446.68
07/11/2019;57198.22
08/11/2019;184807.96
09/11/2019;101608.36
11/11/2019;470736.57
12/11/2019;134903.96
13/11/2019;-1390.55
14/11/2019;360957.93
15/11/2019;87796.24
16/11/2019;195249.32
18/11/2019;326081.93
19/11/2019;220684.2
20/11/2019;15725.28
21/11/2019;147232.36
22/11/2019;-1455.59
23/11/2019;196984.56
25/11/2019;337376.15
26/11/2019;194530.09
27/11/2019;92348.19
28/11/2019;183479.92
29/11/2019;79580.45
30/11/2019;859668.38
03/12/2019;303936.22
04/12/2019;94859.14
05/12/2019;7060.95
06/12/2019;228242.8
07/12/2019;101966.08
10/12/2019;564902.39
11/12/2019;425417.97
12/12/2019;60406.03
13/12/2019;143271.88
14/12/2019;441605.21
16/12/2019;449460.05
17/12/2019;733477.45
18/12/2019;11233.45
19/12/2019;233064.37
20/12/2019;597341.83
21/12/2019;367366.1
23/12/2019;511894.35
24/12/2019;9375.45
26/12/2019;4165.54
27/12/2019;91071.62
28/12/2019;453631.48
30/12/2019;167299
03/01/2020;8797.47
04/01/2020;119900.27
06/01/2020;168422.55
07/01/2020;134983.67
08/01/2020;17140.02
09/01/2020;19560.71
10/01/2020;321720.86
11/01/2020;222698.54
13/01/2020;468435.65
14/01/2020;103679.15
15/01/2020;59378.76
16/01/2020;11681.72
17/01/2020;94764.87
18/01/2020;136602
20/01/2020;145432.69
21/01/2020;198700.4
22/01/2020;19377.47
23/01/2020;7064.43
24/01/2020;387022.09
25/01/2020;153111.1
27/01/2020;500046.46
28/01/2020;724680.11
29/01/2020;-1110.79
30/01/2020;155523.31
01/02/2020;134524.24
03/02/2020;487179.5
04/02/2020;98310.46
05/02/2020;47723.94
06/02/2020;97699.68
07/02/2020;308703.02
08/02/2020;124848.49
10/02/2020;413788.91
11/02/2020;66998.72
12/02/2020;65827.05
13/02/2020;11384.89
14/02/2020;20323.87
15/02/2020;312768.22
17/02/2020;126647.98
18/02/2020;262145.28
19/02/2020;32946.11
20/02/2020;33821.76
21/02/2020;290982.82
22/02/2020;222249.57
24/02/2020;811474.35
25/02/2020;58517.09
26/02/2020;48182.73
27/02/2020;28272.27
02/03/2020;290443.09
03/03/2020;117076.51
04/03/2020;344898.73
05/03/2020;11849.14
06/03/2020;377805.99
07/03/2020;287321.39
09/03/2020;157458.68
10/03/2020;205806.4
11/03/2020;198791.98
12/03/2020;53740.96
13/03/2020;29205.82
14/03/2020;271606.44
16/03/2020;72913.95
17/03/2020;778727.38
18/03/2020;84771.97
19/03/2020;21610.89
20/03/2020;289664.63
21/03/2020;937217.5
23/03/2020;402285.66
24/03/2020;678424.11
25/03/2020;25573.26
26/03/2020;75066.99
01/04/2020;791144.27
02/04/2020;426830.09
03/04/2020;38230.04
04/04/2020;-2783.74
06/04/2020;264235.82
07/04/2020;458267.84
13/04/2020;137107.31
14/04/2020;318278.97
15/04/2020;649554.07
16/04/2020;25666.53
17/04/2020;-1651.18
18/04/2020;221984.68
20/04/2020;297966.13
21/04/2020;228992.38
22/04/2020;85748.51
23/04/2020;5091.12
24/04/2020;14581.6
25/04/2020;253582.26
27/04/2020;144147.95
28/04/2020;334913.03
29/04/2020;532658.12
30/04/2020;680688.77
02/05/2020;69349.48
04/05/2020;119476.02
05/05/2020;245946.88
06/05/2020;88909.62
07/05/2020;10227.85
08/05/2020;37161.39
09/05/2020;185310.88
11/05/2020;83018.07
12/05/2020;244070.74
13/05/2020;178701.39
14/05/2020;242395.33
15/05/2020;33711.57
16/05/2020;171247.03
18/05/2020;109249.35
19/05/2020;390873.69
20/05/2020;134521.38
21/05/2020;17279.83
22/05/2020;26665.14
23/05/2020;332628.99
25/05/2020;103479.23
26/05/2020;515021.71
27/05/2020;318413.95
28/05/2020;445392.14
01/06/2020;322841.65
02/06/2020;168508.78
03/06/2020;312949.48
04/06/2020;9082.54
05/06/2020;27423.8
06/06/2020;109841.2
08/06/2020;265220.68
09/06/2020;116986.29
10/06/2020;164223.64
11/06/2020;320217.09
12/06/2020;26250.16
13/06/2020;156242.17
15/06/2020;67089.28
16/06/2020;342131.27
17/06/2020;174075.46
18/06/2020;3361.91
19/06/2020;26290.36
20/06/2020;138056.7
22/06/2020;245910.82
23/06/2020;246333.14
24/06/2020;220866.44
25/06/2020;266938.29
26/06/2020;79426.51
27/06/2020;284282.59
29/06/2020;6565.58
30/06/2020;4516.29
01/07/2020;381367.82
02/07/2020;-1068.85
03/07/2020;18259.66
04/07/2020;169616.39
06/07/2020;2790.42
07/07/2020;732573.38
08/07/2020;370605.06
09/07/2020;386254.99
10/07/2020;-12593.92
11/07/2020;184789.54
13/07/2020;52574.56
14/07/2020;400989.56
15/07/2020;94171.59
16/07/2020;57031
17/07/2020;10699.68
18/07/2020;242138.62
20/07/2020;88355.2
22/07/2020;434206.71
23/07/2020;350649.13
24/07/2020;99683.89
25/07/2020;207158.78
27/07/2020;75134.06
28/07/2020;621871.51
29/07/2020;162429.75
30/07/2020;107879.23
01/08/2020;96828.14
03/08/2020;270427.93
04/08/2020;258884.73
05/08/2020;262528.22
06/08/2020;453145.93
07/08/2020;117376.39
08/08/2020;146179.36
10/08/2020;83230.53
11/08/2020;585431.63
12/08/2020;-5523.85
13/08/2020;49505.84
14/08/2020;129891.67
15/08/2020;84643.98
17/08/2020;20655.46
18/08/2020;227204.02
19/08/2020;135958.14
20/08/2020;252445.83
21/08/2020;118898.98
22/08/2020;99605.05
24/08/2020;185155.16
25/08/2020;349766.36
26/08/2020;105517.35
27/08/2020;-1159.23
28/08/2020;125229.82
29/08/2020;206696.95
31/08/2020;251213.91
01/09/2020;184771.47
02/09/2020;273595.91
03/09/2020;268530.27
04/09/2020;82050.12
05/09/2020;81662.31
07/09/2020;283589.23
